"Ferreteria Hierros H.D.";"ventasibague@hierroshd.com";"Tel: (58) (295) 2482906";"Cl 9 3-73 El Espinal, Venezuela";"A Domicilio Servicio A Domicilio"
"EL MUNDO DEL MONTACARGA C.A";"";"Telefax: (58) (241) 8252971";"Urb Sabana Larga Cl 128-A, Casa No. 107-111 Fte a C.C. Mediterranea Plaza Valencia, Venezuela";"Alquiler De Maquinaria Y Equipos"
"EXPOFICINA MATURIN, S.R.L.";"";"Tel: (58) (291) 6426054";"Av. Rivas Maturín, Venezuela";"Alquiler De Maquinaria Y Equipos"
"JAIMES BOUTIQUE";"";"Tel: (58) (286) 9224832";"Calle Guasipati Ciudad Guayana Puerto Ordaz, Venezuela";"Alquiler De Togas Y Birretes"
"TOGAS Y BIRRETES PORLAMAR C.A.";"";"Tel: (58) (295) 2642213";"CI. Amador Hernandez Porlamar Porlamar, Venezuela";"Alquiler De Togas Y Birretes"
"LA GRAN CASA DEL ESTUDIANTE C.A.";"";"Tel: (58) (281) 9237301";"Calle Las Bonitas con Santa Rosalia, Edif. Rodriguez PB. Local 4(Detras d e Santo Tome Castillo) Lecherías, Venezuela";"Alquiler De Togas Y Birretes"
"CAMARGO'S ELEGANCE LA TAHONA";"";"Tel: (58) (212) 9435156";"C.C. La Tahona, Piso 1, Lc. 12, La Tahona Baruta, Fte A La Iglesia Del Op us Dei Caracas, Venezuela";"Alquiler De Togas Y Birretes"
"TOGA FLASH, C.A.";"";"Tel: (58) (212) 5431887";"Cl. Cruz VBerde, Santa Teresa Caracas, Venezuela";"Alquiler De Togas Y Birretes"
"TOGA CENTRAL I, C.A.";"";"Tel: (58) (212) 8619114";"Av. Oeste Catedral Caracas, Venezuela";"Alquiler De Togas Y Birretes"
"GRADUACIONES FOTOGR4ADO.COM, C.A.";"";"Tel: (58) (212) 7821013";"Av. La Salle, Plaza Venezuela Caracas, Venezuela";"Alquiler De Togas Y Birretes"
"TOGA RAY";"";"Tel: (58) (212) 7624144";"Cl. E. Recreo, Bello Monte Caracas, Venezuela";"Alquiler De Togas Y Birretes"
"ELEGANCE C.A.";"";"Tel: (58) (286) 9617842";"Ctor. Ccial Alta Vista P 1 Loc 01-14 CI. Cichivero, Alta Vista Ciudad Guayana Puerto Ordaz, Venezuela";"Alquiler De Togas Y Birretes"
"EL SMOKING SHOP C.A.";"";"Tel: (58) (281) 2671254";"CI. Cementerio,Edif.Elio Puerto de  la Cruz, Venezuela";"Alquiler De Togas Y Birretes"
"LOS TRAPOS DE MONI C.A.";"";"Tel: (58) (286) 9619640";"CI. Palermo, Los Olivos Ciudad Guayana Puerto Ordaz, Venezuela";"Alquiler De Togas Y Birretes"
"BRACE METALÚRGICA, C.A.";"";"Tel: (58) (212) 5320733";"Cl Petare Sta Lucía, El Limoncito Caracas, Venezuela";"Anclajes"
"INVERSIONES REFITECA, C.A.";"";"Tel: (58) (212) 2380270";"Cl E. Boleíta Caracas, Venezuela";"Anclajes"
"METALURGICA BREL C.A";"";"Tel: (58) (243) 2391998";"Zona Ind. La Providencia Intercomunal Turmero, Maracay Maracay, Venezuela";"Anclajes"
"M3, C.A.";"";"Tel: (58) (212) 3412513";"Urb. Zona Ind F fajardo Guatire, Venezuela";"Anclajes"
"REMECA REJILLAS Y METALES, C.A.";"";"Telefax: (58) (241) 8327008";"Av Este-Oeste 5 Z O Municipal Norte, Valencia Valencia, Venezuela";"Anclajes"
"ANCHOR FASTENERS";"";"Tel: (58) (212) 9536906";"Cl. El Retiro Qta. Mina El Rosal Chacao Caracas, Venezuela";"Anclajes"
"FANBRA, C.A.";"";"Tel: (58) (212) 2372748";"Zona Industrial I Caracas, Venezuela";"Anclajes"
"SATMANTV, C.A.";"";"Tel: (58) (212) 7516669";"Cnas De Bello Monte Caracas, Venezuela";"Antenas Parabólicas"
"GALASERVICE";"";"Tel: (58) (212) 7823661";"Maripérez Caracas, Venezuela";"Antenas Parabólicas"
"APICOLA MIEL VITAL";"";"Tel: (58) (274) 2510260";"Calle 21 Entre Avenidas 7 Y 8 Nro. 7-68, Sector El Espejo Mérida Mérida, Venezuela";"Apicultura"
"COMERCIAL TRIPLE A, C.A.";"";"Tel: (58) (241) 8943007";"Via Del Servicio Tocuyito, Venezuela";"Argón"
"TODO INDUSTRIA Y COMERCIO DEL MUEBLE, C.A.";"";"Tel: (58) (212) 3837639";"Fábrica Carrizal Av. La Campana, Corralito Carrizal, Venezuela";"Arquitectura Hospitalaria"
"REPLOTECA";"";"Tel: (58) (243) 2323360";"Urb.La Soledad 6Ta. Av. Edf Amazonas, Local 1 Maracay, Venezuela";"Artículos De Papelerias"
"LIBRERIA ANDRELUI, C.A";"";"Tel: (58) (212) 3449934";"Av Bermudez Guatire Guatire, Venezuela";"Artículos De Papelerias"
"VENTA DE MAQUINARIAS Y PAPELES C.A";"";"Tel: (58) (261) 7924416";"Av. 3y Cl 80 Maracaibo, Venezuela";"Artículos De Papelerias"
"CONTPLAST C.A.";"";"Telefax: (58) (212) 2441348";"Cl. Ppal, Villa Gioia. Urb. Turumo Guatire, Venezuela";"Artículos De Papelerias"
"A TUS ORDENES.COM C.A.";"";"Telefax: (58) (212) 3936861";"Caracas Caracas, Venezuela";"Artículos De Papelerias"
"CORPORACION TECNICA ANJAI 2007 C.A.";"";"Tel: (58) (212) 5749113";"Cl Colon Los Caobos Caracas, Venezuela";"Artículos De Papelerias"
"DANY TEXTIL C.A.";"";"Tel: (58) (212) 3610832";"Av La Guairita Edif Aro Zona Industrial El Recreo Guarenas, Venezuela";"Artículos De Papelerias"
"OLYMPIA ARAGUA C.A";"";"Tel: (58) (243) 2451897";"Av L 3 Mosqueteros, La Esperanza Maracay, Venezuela";"Artículos De Papelerias"
"SYSOSPY RENTAL C.A";"";"Tel: (58) (241) 8580770";"Av Montes De Oca, Entre Vargas Y Rondón C.C Y Profesional Montes De Oca, P.B Local 207, Valencia Valencia, Venezuela";"Artículos De Papelerias"
"COPIA©S, C.A.";"";"Tel: (58) (291) 6438170";"Calle Azcue Entre Miranda y Arriojas, Detrás de la Asamblea Maturín, Venezuela";"Artículos De Papelerias"
"ARQUI PLOTTER C.A";"";"Tel: (58) (243) 2370697";"Maracay Maracay, Venezuela";"Artículos De Papelerias"
"DISTRIBUIDORA CLIP, S.R.L.";"";"Tel: (58) (212) 2841389";"Los Palos Grandes Caracas, Venezuela";"Artículos De Papelerias"
"CONTIMACA";"";"Telefax: (58) (212) 2571578";"Av Milan Edif Contimaca Urb Los Ruices Sur Caracas, Venezuela";"Artículos De Papelerias"
"EQUIPOS Y CARPETAS SUR, C.A.";"";"Tel: (58) (212) 5410143";"Candilito A Tablitas, No. 155, Santa Rosalía Caracas, Venezuela";"Artículos De Papelerias"
"PAPELERIA ESMAR";"";"Tel: (58) (212) 5456915";"Chorro A Dr Paul Edif El Chorro Av La Univercidad Caracas, Venezuela";"Artículos De Papelerias"
"CASA DEL MULTIGRAFO C.A";"";"Tel: (58) (243) 2344950";"Cl Guarico, San Ignacio Maracay, Venezuela";"Artículos De Papelerias"
"DISTRIBUIDORA AIMADA C.A";"";"Tel: (58) (212) 7932963";"Mariperez Caracas Caracas, Venezuela";"Artículos De Papelerias"
"INTERNATIONAL RIBBON CENTER DE VENEZUELA C.A";"";"Tel: (58) (212) 2355447";"Los Ctjos De Lourdes Caracas, Venezuela";"Artículos De Papelerias"
"CORPORACION PROLAIN";"";"Tel: (58) (212) 4519323";"Av Miranda Quinta Los Cospes Urb El Paraiso Diagonal A La Plaza Washinton g Caracas, Venezuela";"Artículos De Papelerias"
"CREACIONES DIANMELY DE VENEZUELA, C.A.";"";"Tel: (58) (212) 4619706";"Cl. D, Edif. Trinidad, Local 3 Interno, P.B. Zona Industrial San Martín D etrás Del Banco Provincial Caracas, Venezuela";"Artículos De Papelerias"
"FOLIOS C.A";"";"Tel: (58) (241) 8432542";"El Trigal Norte, Valencia Valencia, Venezuela";"Artículos De Papelerias"
"FOTO ESTUDIO KANDEL, C.A.";"";"Tel: (58) (251) 2331428";"Entre Av 20 y Cr 19 Barquisimeto, Venezuela";"Artículos De Papelerias"
"VIMAPLAST II, C.A.";"";"Tel: (58) (212) 2565123";"El Llanito - Caracas Caracas, Venezuela";"Artículos De Papelerias"
"OZALID";"";"Tel: (58) (261) 7924974";"Cl 80 Maracaibo, Venezuela";"Artículos De Papelerias"
"TRANSPACA";"";"Tel: (58) (212) 2399045";"Av. Ppal,Los Ctjosde Lourdes Caracas, Venezuela";"Artículos De Papelerias"
"CENTRO DE COPIADO Y NOVEDADES LUGON C.A";"";"Tel: (58) (261) 3213725";"Fte. A La Plaza Miranda Av. 2 Esq. Cl. 10 Maracaibo, Venezuela";"Artículos De Papelerias"
"BAZAR ESCOLAR AB. C.A";"";"Tel: (58) (212) 2566781";"Av Fco De Miranda Buena Vista Caracas, Venezuela";"Artículos De Papelerias"
"QUICK SOLUTIONS, C.A.";"";"Tel: (58) (212) 2350026";"Urb. Boleíta Caracas, Venezuela";"Artículos De Papelerias"
"TECNICA COVIMI C.A.";"";"Tel: (58) (212) 7537280";"Av Miguel Angel Cruce Con Cl Cervantes Edif Umbe, Colinas De Bell Monteo Caracas, Venezuela";"Artículos De Papelerias"
"SERVI SATISFACCIÓN";"";"Tel: (58) (257) 2515020";"Cr5ta.C/C6 Guanare, Venezuela";"Artículos De Papelerias"
"TECNOSERVI, C.A.";"";"Tel: (58) (251) 4466393";"Av 20 E/Cls 39 Y 40 C.C. Comercio P.B. Locales 3 Y 4 Barquisimeto, Venezuela";"Artículos De Papelerias"
"PANACOPY C.A.";"";"Tel: (58) (212) 2840726";"Los Palos Grandes Caracas, Venezuela";"Artículos De Papelerias"
"OFFI-HAM, C.A.";"";"Tel: (58) (276) 3466476";"Av. 19 De Abril, Conjunto Residencial El Parque, Torre 2, Local 39, P.B. (Frente A La Policlínica Táchira) Estado Táchira San Cristóbal, Venezuela";"Artículos De Papelerias"
"PROMOCIONES SAIX C.A.";"";"Tel: (58) (212) 8736175";"Cl.Colombia Catia Caracas, Venezuela";"Artículos De Papelerias"
"RAHEYBA";"";"Tel: (58) (212) 5778850";"Av. Principal, Pedro Camejo Edif. Los Roques Piso 1 Pedro Camejo Caracas, Venezuela";"Artículos De Papelerias"
"DISCOMPA C.A";"";"Tel: (58) (243) 2411950";"C.C La Floresta P.B Local 3 Maracay, Venezuela";"Artículos De Papelerias"
"COPY MAX C.A";"";"Tel: (58) (241) 8253730";"Av Cuatricentenaria Valencia, Venezuela";"Artículos De Papelerias"
"MULTY COPY C.A";"";"Tel: (58) (241) 8245395";"Prebo, Valencia Valencia, Venezuela";"Artículos De Papelerias"
"LIBRERIA Y PAPELERIA SAN SEBASTIAN 18-12 C.A";"";"Tel: (58) (212) 3414716";"Esq C.C.C Plaza Nv Center Guatire Guatire, Venezuela";"Artículos De Papelerias"
"LEDUX";"";"Tel: (58) (212) 6936074";"Cl Aranda Entre Avs Las Ciencias Y El estadio Qta Olga N Chaguaramos Caracas, Venezuela";"Artículos De Papelerias"
"SERVICIO TÉCNICO EQUIPOS DE OFICINA";"";"Tel: (58) (273) 5522666";"Av. Montilla, Barinas Barinas, Venezuela";"Artículos De Papelerias"
"RICOHPY C.A";"";"Tel: (58) (243) 2154361";"Maracay Maracay, Venezuela";"Artículos De Papelerias"
"SERVI SUMINISTROS BARRIOS, S.R.L.";"";"Tel: (58) (276) 3411047";"Carrera 6 Esq. Calle 14 Nro. 13-101, La Ermita, San Cristóbal San Cristóbal, Venezuela";"Artículos De Papelerias"
"REPAVECA RECICLAJE PALO VERDE II, C.A.";"";"Tel: (58) (212) 2516010";"Zona Industrial Palo Verde, Av. Principal La Industria, Galpón No.8, Petare, Edo. Miranda Caracas, Venezuela";"Artículos De Papelerias"
"REPRESENTACIONES C.M.G.";"";"Tel: (58) (274) 2443470";"Hoyada De Milla, Mérida Mérida, Venezuela";"Artículos De Papelerias"
"SUMINISTROS 1503 C.A";"";"Tel: (58) (212) 2348771";"2 Trasv Boleita Caracas, Venezuela";"Artículos De Papelerias"
"VIVAS Y VIVAS SERVICIOS INTEGRALES, C.A.";"";"Telefax: (58) (276) 3569757";"Av. Carabobo, C.C. Los Próceres, San Cristóbal San Cristóbal, Venezuela";"Artículos De Papelerias"
"TRENZAS CARRIZAL, CA";"";"Tel: (58) (212) 3831083";"Barola- Carrizal Carrizal, Venezuela";"Artículos De Papelerias"
"NUEVAS GRAFICAS";"";"Telefax: (58) (261) 7873853";"Carrera 1 5-141 Via a Colon Maracaibo, Venezuela";"Artículos De Papelerias"
"PLADETEC C.A.";"";"Tel: (58) (212) 2664492";"Multicentro Empresarial Del Este, Edif.Miranda Nucleo.B, Ps.9 Ofic.96-B Caracas, Venezuela";"Artículos De Papelerias"
"RECICLAJES ANA TERESA";"";"Tel: (58) (212) 8085053";"Valles Del Tuy Santa Lucia Caracas, Venezuela";"Artículos De Papelerias"
"OFFICE AND CLEAN 2510, C.A.";"";"Tel: (58) (212) 2634668";"Av.Principal De Bello Campo, Chacao Caracas, Venezuela";"Artículos De Papelerias"
"CARPETERIA UNIVERSO";"";"Tel: (58) (212) 4721595";"Cl. Real Carapita, Carapita Caracas, Venezuela";"Artículos De Papelerias"
"SOLUCIONES DIGITALES C.A";"";"Tel: (58) (241) 8264003";"Av Monseñor Adams, El Viñedo Valencia, Venezuela";"Artículos De Papelerias"
"IMPORTADORA LEODANKA C.A";"";"Tel: (58) (261) 7712453";"Cr. 8 Maracaibo, Venezuela";"Artículos De Papelerias"
"PAPELERIA EL FUTURO";"";"Tel: (58) (212) 6317079";"Prado De Maria -Caracas Caracas, Venezuela";"Artículos De Papelerias"
"ARCHIMOVIL";"";"Tel: (58) (212) 9594111";"Av. Ernesto Blohm, Chuao Caracas, Venezuela";"Artículos De Papelerias"
"ACID GRAFIC";"";"Tel: (58) (241) 8256865";"Calle 137,Prebo Valencia, Venezuela";"Artículos De Papelerias"
"GV OFFICE SERVICE C.A";"";"Tel: (58) (212) 9520886";"El Rosal Caracas, Venezuela";"Artículos De Papelerias"
"PROSERVI TEC, S.R.L.";"";"Tel: (58) (261) 7595662";"Las Delicias, Maracaibo Maracaibo, Venezuela";"Artículos De Papelerias"
"PAPELERIA EL PARQUE, C.A.";"";"Telefax: (58) (261) 7868223";"Cent Comerci El Parq Circunvalaci 2 al lado del Hospi Madre Rafols la Pas Maracaibo, Venezuela";"Artículos De Papelerias"
"INDUSTRIA PORTOPLASTIC, C.A.";"";"Tel: (58) (212) 2380819";"Av. Santa Ana, Boleíta Sur Caracas, Venezuela";"Artículos De Papelerias"
"AGENDAS LEC";"";"Tel: (58) (212) 2411111";"Cl8, Zona Industrial La Urbina Caracas, Venezuela";"Artículos De Papelerias"
"REPRO ACA, C.A.";"";"Tel: (58) (255) 6225415";"Av. 5 De Diciembre Araure, Venezuela";"Artículos De Papelerias"
"LIBREIRA 19 DE ABRIL C.A";"";"Tel: (58) (212) 2714031";"Redoma De Petare Caracas, Venezuela";"Artículos De Papelerias"
"BLACK POINT INTERNATIONAL C.S";"";"Tel: (58) (212) 2345516";"Los Dos Caminos Caracas, Venezuela";"Artículos De Papelerias"
"SURTICENTER, C.A.";"";"Tel: (58) (242) 3616492";"Calle Plaza C.C. Consolidado Puerto Cabello, Venezuela";"Artículos De Papelerias"
"OLYMPIA LARA, C.A.";"";"Tel: (58) (251) 2327204";"Cl. 32 - Bqto Barquisimeto, Venezuela";"Artículos De Papelerias"
"INVERSIONES Y SERVICIOS P & P PÉREZ";"";"Tel: (58) (251) 6564272";"Cl 8, San Francisco Barquisimeto, Venezuela";"Artículos De Papelerias"
"ENTINTE C.A";"";"Tel: (58) (212) 9410886";"La Trinidad Caracas, Venezuela";"Artículos De Papelerias"
"IMPRESO TRILIP CARACAS, C.A.";"";"Tel: (58) (212) 2716051";"Caracas Caracas, Venezuela";"Artículos De Papelerias"
"MAQUINFOIL SUPPLY C.A";"";"Tel: (58) (212) 5632976";"Esq Abanico A Socorro Altagracia Caracas, Venezuela";"Artículos De Papelerias"
"REPRESENTACIONES DELTA S.R.L.";"";"Telefax: (58) (212) 5513934";"Caracas Caracas, Venezuela";"Artículos De Papelerias"
"DELCOP";"";"Tel: (58) (212) 9784344";"Av. Río Caura, Prados Del Este, Caracas Caracas, Venezuela";"Artículos De Papelerias"
"PAPELERIA MODERNA C.A.";"";"Tel: (58) (276) 3474742";"La Concordia San Cristóbal, Venezuela";"Artículos De Papelerias"
"DISTRIBUIDORA LOBO";"";"Tel: (58) (275) 8732952";"Carrera 4ta No 1-108 Tovar Edo Merida Tovar, Venezuela";"Artículos De Papelerias"
"PAPELERIA CORTESIA, C.A.";"";"Tel: (58) (243) 2473079";"cl Vargaz Sur Maracay, Venezuela";"Artículos De Papelerias"
"ARAGUA CYBER CENTER, COMPAÑÍA ANÓNIMA";"";"Tel: (58) (291) 6411686";"Av. Bolívar, Centro Maturín, Venezuela";"Artículos De Papelerias"
"XELAR";"";"Tel: (58) (251) 2520282";"Barquisimeto Av 20 Esq. Cl 12 Barquisimeto, Venezuela";"Artículos De Papelerias"
"IDEAL OFFICE";"";"Tel: (58) (212) 2422227";"Caracas Caracas, Venezuela";"Artículos De Papelerias"
"TEAM RECA C.A.";"";"Tel: (58) (212) 3214545";"CC La Hoyada Caracas, Venezuela";"Artículos De Papelerias"
"A & B TOTAL C.A";"";"Tel: (58) (241) 8252945";"Av Bolívar, El Viñedo Valencia, Venezuela";"Artículos De Papelerias"
"MAIL BOXES ETC";"";"Tel: (58) (251) 2478555";"Av. Puma Rosa, Santa Fe Barquisimeto, Venezuela";"Artículos De Papelerias"
"LIBRERIA & PAPELERIA SURAMERICANA";"";"Tel: (58) (243) 8255977";"Av. Bolivar Norte Maracay, Venezuela";"Artículos De Papelerias"
"SUPLIDORES REGIONALES, C.A.";"";"Tel: (58) (261) 7536772";"C.C. Las Tunas, Local 6, Pb, Maracaibo Maracaibo, Venezuela";"Artículos De Papelerias"
"SISTEMAS DATASAN 600 C.A";"";"Tel: (58) (212) 5500191";"San Bernardino Caracas, Venezuela";"Artículos De Papelerias"
"ORGANIZACIÓN COPY MULT C.A";"";"Tel: (58) (241) 8577039";"C.C Boyaca Ct Boyaca E/ Rondón Y Vargas No. 8 Valencia, Venezuela";"Artículos De Papelerias"
"COPI PLANOS, C.A.";"";"Tel: (58) (241) 8575240";"Valencia Valencia, Venezuela";"Artículos De Papelerias"
"SERVITEX C.A.";"";"Tel: (58) (276) 3419789";"Calle 16 Entre Carreras 14 Y 15 Nú 14-75. La Romera - San Cristóbal - Venezuela San Cristóbal, Venezuela";"Artículos De Papelerias"
"INVERSIONES MONROY C.A";"";"Tel: (58) (243) 2418692";"Av J M Vargas La Floresta Maracay, Venezuela";"Artículos De Papelerias"
"LÁSER MANIA";"";"Tel: (58) (245) 5644346";"Av Carabobo C.C Doña Franca Locales 10-12 Guacara Guacará, Venezuela";"Artículos De Papelerias"
"COPY LASER C.A";"";"Tel: (58) (243) 2452985";"Cl López Aveledo Nte. Calicanto Maracay, Venezuela";"Artículos De Papelerias"
"SUPPLY C.A";"";"Telefax: (58) (245) 5648626";"Cl Arevalo González Entre Urdaneta Y Sucre Edif. Bruno Local 1, Guacara Guacará, Venezuela";"Artículos De Papelerias"
"DISTRIBUIDORA VIMACA , C.A";"";"Tel: (58) (212) 7814193";"La Florida-Caracas Caracas, Venezuela";"Artículos De Papelerias"
"DISTRIBUIDORA OFICINA LARA, C.A.";"";"Tel: (58) (251) 2690925";"Zona Industrial II Barquisimeto, Venezuela";"Artículos De Papelerias"
"TODO IMPRESOS C.A";"";"Telefax: (58) (241) 8245802";"Av Monseñor Adams, El Viñedo Valencia, Venezuela";"Artículos De Papelerias"
"LIBRERIA Y PAPALERIA ATLANTIS ,C.A";"";"Tel: (58) (212) 3711008";"Av Perimetral Los Castores Caracas, Venezuela";"Artículos De Papelerias"
"SERVICOLOR, C.A.";"";"Tel: (58) (271) 2212348";"Av. Independencia, Edif. P N L, Loc B, La Plata I, Valera Valera, Venezuela";"Artículos De Papelerias"
"INDUSTRIAS TEXTILES HAI, C.A.";"";"Tel: (58) (212) 5774734";"Av. Andres Bello Guaicaipuro Caracas, Venezuela";"Artículos De Papelerias"
"TONER Y SERVICIOS";"";"Tel: (58) (276) 3561541";"Calle 9 Con Crs. 18 Y 19, Nro. 18-19 Barrio Obrero, San Cristóbal San Cristóbal, Venezuela";"Artículos De Papelerias"
"COPY FIX";"";"Tel: (58) (273) 5325983";"Av. 23 De Enero, Edif. La Fontana, P.B., Local 4, Barinas, Edo. Barinas Barinas, Venezuela";"Artículos De Papelerias"
"DIMCO DIGITAL C.A";"";"Tel: (58) (243) 2171986";"Av Los Cedros C/C San Ignacio Edif. Adamar Piso 1 Ofic 1, Maracay Maracay, Venezuela";"Artículos De Papelerias"
"ORGANIZACIÓN REPRO C.A";"";"Tel: (58) (241) 8263962";"Cl 123 Santa Cecilia Valencia, Venezuela";"Artículos De Papelerias"
"BORDES & COMPANY";"";"Tel: (58) (243) 9852527";"Cafetal-Plaza Las Americas Maracay, Venezuela";"Artículos De Papelerias"
"EQUIPOS DE OFICINA CONFIEQUIPOS C.A";"";"Tel: (58) (241) 8229553";"Urb. Las Acacias Don Bosco Residencial Las Acacias Local No. 2, Valencia Valencia, Venezuela";"Artículos De Papelerias"
"LIBRERIA 44, C.A";"";"Tel: (58) (212) 2425721";"Al Lado De Autoamercados Luz Cl 4 A, La Urbina Caracas, Venezuela";"Artículos De Papelerias"
"SISTEMAS NOR 2050, C.A.";"";"Tel: (58) (212) 2679601";"Cl. Adrian Rodriguez, Quinta Zoila No 14-30 Chacao Caracas, Venezuela";"Artículos De Papelerias"
"FULL COPY, C.A.";"";"Telefax: (58) (251) 2554986";"C.C. Río Lama, Local 5-4 Iv Etapa, Frente Al Parque Real Av Lara Barquisimeto, Venezuela";"Artículos De Papelerias"
"INVERMAX";"";"Tel: (58) (251) 7170025";"Cr19 Entre Calles 15 Y 16 Loc. 19-20 Barquisimeto, Venezuela";"Artículos De Papelerias"
"TRAZO DIGITAL";"";"Tel: (58) (243) 2411289";"Av Las Delicias C.C La Floresta, Pasillo Local No. 13 Maracay, Venezuela";"Artículos De Papelerias"
"COPYARTE";"";"Tel: (58) (241) 8725249";"Los Arales, Valencia Valencia, Venezuela";"Artículos De Papelerias"
"COPYOFI";"";"Tel: (58) (261) 7528303";"Av. 15 c Con Cl. 69 Al Lado Del Conjunto Residencial Universitario Maracaibo, Venezuela";"Artículos De Papelerias"
"LIBRERIA EL CLIP.COM, C.A";"";"Tel: (58) (212) 4518113";"San Martin -Caracas Caracas, Venezuela";"Artículos De Papelerias"
"LIDELCO C.A.";"";"Tel: (58) (212) 9457213";"Los Guayabitos, Baruta Caracas, Venezuela";"Artículos De Papelerias"
"SIPOFI C.A.";"";"Tel: (58) (212) 9513532";"Av. Casanova Torre Limina, Bello Monte Caracas, Venezuela";"Artículos De Papelerias"
"OLYMPIA CARABOBO, C.A.";"";"Tel: (58) (241) 8590405";"Cl. Rondón, San Blas, Valencia Valencia, Venezuela";"Artículos De Papelerias"
"SERLICA";"";"Tel: (58) (261) 7232109";"Calle 86, Entre Bella Vista Y Sta. Rita Galpón 4-42 Maracaibo, Venezuela";"Artículos De Papelerias"
"LIBRERIA Y PAPELERIA LA ROSA NAUTICA";"";"Tel: (58) (212) 3733764";"C. C San Antonio Pza Nv 1 Loc 18 Av Permitral El Rosalito Caracas, Venezuela";"Artículos De Papelerias"
"DISTRIBUIDORA ORTACA C.A.";"";"Tel: (58) (212) 5780095";"Av Lecuna Parque Central Caracas, Venezuela";"Artículos De Papelerias"
"CONVERSION CONTINANTAL";"";"Tel: (58) (212) 5322926";"Filas De Mariche - Caracas Caracas, Venezuela";"Artículos De Papelerias"
"SERVI DIGI TECH";"";"Telefax: (58) (251) 2480498";"Barquisimeto Barquisimeto, Venezuela";"Artículos De Papelerias"
"DISCA C.A";"";"Tel: (58) (212) 5420911";"Av Fuerzas Armadas, Rosario A Cristo (Frente Al Cuartel De Bomberos D.F) Caracas, Venezuela";"Artículos De Papelerias"
"AA. BTECH SYSTEMS";"";"Tel: (58) (212) 7630675";"Av. Santos Erminy Sabana Grande Caracas, Venezuela";"Artículos De Papelerias"
"MEGA COPIAS";"";"Tel: (58) (261) 7971649";"Frente Al C.A Aventura Av. 12 Tierra Negra Maracaibo, Venezuela";"Artículos De Papelerias"
"ENCERADOS FACAMAR S.R.L.";"";"Tel: (58) (212) 7510008";"Colinas De Bello Monte Caracas, Venezuela";"Artículos De Papelerias"
"TRANSFORMADORA PAPELERA SUCESORES, C.A. TRANSPACA";"";"Tel: (58) (261) 7291420";"Cl.98.Arismendi, No.17A-72 Sector Sta.Rosalia Maracaibo, Venezuela";"Artículos De Papelerias"
"CARTOGEO C.A 1";"";"Tel: (58) (212) 4155206";"Los Palos Grandes Caracas, Venezuela";"Artículos De Papelerias"
"KRATO, C.A";"";"Tel: (58) (212) 2427020";"Cl 1, Terrazas Del Avila Caracas, Venezuela";"Artículos De Papelerias"
"XERVAL";"";"Telefax: (58) (241) 8386552";"Av. Henry Ford,ZI Municipal Norte Valencia, Venezuela";"Artículos De Papelerias"
"LIBRERIA VENEZUELA, C.A";"";"Tel: (58) (212) 4612119";"Av Paez, Edif. Las Elenas, P.B Fte. A La Plaza Washintong, El Paraiso Caracas, Venezuela";"Artículos De Papelerias"
"VESETEC, S.R.L.";"";"Tel: (58) (241) 8313816";"Av Bolívar Sur, La Calendaria Valencia, Venezuela";"Artículos De Papelerias"
"COPY CENTER SUPPLY RIVERO";"";"Tel: (58) (254) 2312592";"Av. Caracas San Felipe, Venezuela";"Artículos De Papelerias"
"SUPPLY OFICINA MARGARITA, C.A.";"";"Tel: (58) (295) 2626563";"Sector los Robles Pampatar, Venezuela";"Artículos De Papelerias"
"FOTOCOPIADORAS CAMCORP C.A.";"";"Tel: (58) (212) 6322803";"Caracas Caracas, Venezuela";"Artículos De Papelerias"
"COPYBEL C.A.";"";"Telefax: (58) (276) 3465534";"Calle 1, Entre Carreras 9 Y 10 Edif. Jotorarco, Nros. 9-61 Y 9-69 La Concordia, San Cristóbal - Táchira - Venezuela San Cristóbal, Venezuela";"Artículos De Papelerias"
"DIVALPA PAPELERA, C.A.";"";"Tel: (58) (251) 2377065";"Entre calles 25 y 26, Nro. 25-85 Barquisimeto, Venezuela";"Artículos De Papelerias"
"LIVRERIA LIBREMAR 2137, C.A";"";"Tel: (58) (212) 3528043";"Entre Cl 7 Y Cl 3 Caracas, Venezuela";"Artículos De Papelerias"
"VARIEDADES CORDOBA, C.A.";"";"Tel: (58) (265) 6411412";"Calle Corodoba Ciudad Ojeda, Venezuela";"Artículos De Papelerias"
