"CARRES";"";"Tel: (58) (244) 3225796";"Zona Industrial CI Presidente La Victoria, Venezuela";"Acarreos"
"ARTESANÍA PLAQUE, C.A.";"";"Tel: (58) (212) 2564947";"Av L Tinaja, El Llanito Caracas, Venezuela";"Artesanías"
"SOUVENIRS CANAIMA";"";"Tel: (58) (286) 9612162";"CI. Cuctivero,Alta Vista Ciudad Guayana Puerto Ordaz, Venezuela";"Artesanías"
"SANCHEZ ESPACIO DE ARTE";"";"Tel: (58) (281) 2816035";"C.C. Caribean Mail, Lencherias Lecherías, Venezuela";"Artesanías"
"INJUMA S.R.L.";"";"Tel: (58) (281) 2813789";"Av.Principal de Lencheria Lecherías, Venezuela";"Artesanías"
"SOUVENIRS LA CRIOLLITA C.A";"";"Tel: (58) (241) 8321424";"Aeropuerto Int. Arturo Michelena Valencia, Venezuela";"Artesanías"
"RESORA C.A.";"";"Tel: (58) (243) 2342786";"Av Constitución Maracay, Venezuela";"Articulos De Ferreteria"
"REMACHES UNITOP FIJACIONES INDUSTRIALES TÉCNICAS C.A.";"";"Tel: (58) (212) 2571077";"Caracas Caracas, Venezuela";"Articulos De Ferreteria"
"RUEDAS Y RODAMIENTOS MIRANDA C.A.";"";"Tel: (58) (249) 3836070";"Carr. Panamericana Km.14, Parcela 36, Sector La Carbonera, Mini Centro Comercial Jorti Carrizal Edo. Miranda Miranda, Venezuela";"Articulos De Ferreteria"
"TECNOFIX C.A";"";"Tel: (58) (212) 2574878";"Av. San Francisco Macaracuay Caracas, Venezuela";"Articulos De Ferreteria"
"REME, C.A.";"";"Tel: (58) (264) 3716401";"Av. Intercomunal, Las 5 Bocas Cabimas, Venezuela";"Articulos De Ferreteria"
"CABLE ACERO C.A";"";"Tel: (58) (261) 7355055";"Cl. 61, Los Robles Maracaibo, Venezuela";"Articulos De Ferreteria"
"RESORTES Y DERIVADOS METÁLICOS, C.A.";"";"Tel: (58) (243) 5516448";"Cl. E, Galpón No.88 Maracay, Venezuela";"Articulos De Ferreteria"
"RUEDAS INDUSTRIALES ARAGUA, C.A.";"";"Tel: (58) (282) 4478075";"Cl. Comercio, Sabana Larga, Local No.4, Cagua - Edo. Aragua Aragua de Barcelona, Venezuela";"Articulos De Ferreteria"
"BAÑOS BOUTIQUE C.A.";"";"Tel: (58) (243) 2322453";"C.C. Hiper Jumbo, Nivel Sotano Local S-3/S-4 Maracay, Venezuela";"Articulos De Ferreteria"
"METALLIZING, C.A.";"";"Tel: (58) (212) 2351760";"Cl. Vargas, Boleíta Norte Caracas, Venezuela";"Articulos De Ferreteria"
"RUEDAS VENEZOLANAS C.A.";"";"Tel: (58) (276) 7710993";"Carrera 5 N³ 3-31 San Antonio del Táchira, Venezuela";"Articulos De Ferreteria"
"REGIVENCA C.A.";"";"Tel: (58) (241) 8724766";"Ur. Complejo Los Jerales, Av.La Plaza Manzana Mc 3. Paecela No.15 San die go- Edo Carabobo Valencia, Venezuela";"Articulos De Ferreteria"
"DINAMIBAÑOS";"";"Telefax: (58) (212) 2436035";"La Urbina Caracas, Venezuela";"Articulos De Ferreteria"
"ELPLOCA";"";"Tel: (58) (241) 8576339";"Inicio De Av. Lara Cruce Mellao Sector San Blas Valencia Valencia, Venezuela";"Articulos De Ferreteria"
"TORNILLOS COJEDES";"";"Tel: (58) (248) 4096718";"Edif, ada, P.B. Av Sucre San Carlos, Venezuela";"Articulos De Ferreteria"
"RUEDAS DE VENEZUELA, C.A.";"";"Tel: (58) (241) 8325360";"Urbanizacion Zona Industrial Sur Valencia, Venezuela";"Articulos De Ferreteria"
"INDUSTRIA ONIX C.A.";"";"Tel: (58) (212) 2667818";"Cl. Prolongación Sucre, Chacao - Caracas Caracas, Venezuela";"Articulos De Ferreteria"
"INVERSIONES GRAPIC C.A";"";"Tel: (58) (241) 4177096";"Valencia Valencia, Venezuela";"Articulos De Ferreteria"
"DISCARVEN, C.A.";"";"Tel: (58) (212) 4220583";"Km.16, Araguaney El Junquito Caracas, Venezuela";"Articulos De Ferreteria"
"GUAYAL DEL CENTRO C.A";"";"Tel: (58) (241) 3650045";"Av.La paz Urb La Sorpresa Local Guayabal del Centro al lado del C.C Vanet to Valencia, Venezuela";"Articulos De Ferreteria"
"METRO CONTROL C.A.";"";"Telefax: (58) (241) 8354257";"tocuyito - Valencia - Edo. Carabobo Valencia, Venezuela";"Articulos De Ferreteria"
"RINSUCA RINES Y SUSPENSIONES, C.A.";"";"Tel: (58) (241) 8534531";"La Candelaria Valencia, Venezuela";"Articulos De Ferreteria"
"ALAMBRES TREFILADOS ALATRECA, C.A.MILFORD";"";"Tel: (58) (212) 3440755";"Planta Guatire Guatire, Venezuela";"Articulos De Ferreteria"
"REPRESENTACIONES FREN, C.A.";"";"Telefax: (58) (286) 9511166";"Cl Suata, Zona Ind Unare II, Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Articulos De Ferreteria"
"CAVEGUAYAS (C.A. VENEZOLANA DE GUAYAS)";"";"Tel: (58) (286) 9511834";"Cl Neverí, Unare II, Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Articulos De Ferreteria"
"RESORTES Y AFINES, C.A.";"";"Tel: (58) (241) 8590175";"San Blas, Valencia Valencia, Venezuela";"Articulos De Ferreteria"
"BASCULAS IDERNA";"";"Tel: (58) (276) 4157777";"San Cristobal San Cristóbal, Venezuela";"Articulos De Ferreteria"
"METAL RUEDA 93, C.A.";"";"Tel: (58) (212) 2396697";"Edif. Voque A, Boleíta Sur Caracas, Venezuela";"Articulos De Ferreteria"
"FANAGRA C.A";"";"Tel: (58) (212) 2371944";"Avenida San Francisco de Miranda Edif Seguros La Paz Piso 5 0fic.0-55 Caracas, Venezuela";"Articulos De Ferreteria"
"RESUDCA RESORTES";"";"Tel: (58) (212) 2346870";"4Ta. Transversal, Boleita Sur Caracas, Venezuela";"Articulos De Ferreteria"
"FERRETERIA PROTO 2000 C.A";"";"Tel: (58) (212) 4722826";"Av. Intercomunal De Antímano Esq. Algodonal Edf. García Zona Industrial Caracas, Venezuela";"Articulos De Ferreteria"
"CABLECRAFT DE VENEZUELA C.A";"";"Tel: (58) (212) 9443034";"La Trinidad Caracas Caracas, Venezuela";"Articulos De Ferreteria"
"TORNAVICA";"";"Tel: (58) (261) 7379232";"Maracaibo- Km 4 1/2 Carretera a Perijá Calle 150 con Av. 49 Galpon TORNAV ICA Maracaibo, Venezuela";"Articulos De Ferreteria"
"ACE CLIPPER";"";"Tel: (58) (212) 5322926";"Caracas Caracas, Venezuela";"Articulos De Ferreteria"
"VIRA, C.A.";"";"Tel: (58) (212) 3437208";"Zona Ind. Puente Real Caracas, Venezuela";"Articulos De Ferreteria"
"MENCHU INVERSIONES, C.A.";"";"Tel: (58) (251) 4469236";"Av. Romulo Gallegos Barquisimeto, Venezuela";"Articulos De Ferreteria"
"METAL MACA GUAYANA, C.A.";"";"Telefax: (58) (241) 8534501";"Ind. L Guacamaya Valencia Valencia, Venezuela";"Articulos De Ferreteria"
"RESORTES UNIVERSALES, C.A.";"";"Tel: (58) (212) 3727291";"Ct. Panamericana, Km.17 Carrizal Carrizal, Venezuela";"Articulos De Ferreteria"
"GUAYAS ORIENTALES C.A.";"";"Tel: (58) (281) 2743869";"Av José Antonio Anzóategui C.C. Ra-Ra-Ra Local Nú 7 Frente A La Redoma De Los Pájaros, Barcelona, Edo. Anzóategui Barcelona, Venezuela";"Articulos De Ferreteria"
"CARFLEX, C.A.";"";"Tel: (58) (276) 3564051";"Av. Ppal. Machiri, Terraza N Al Lado Autolavado Diamante Express Zona Ind Paramillo San Cristóbal, Venezuela";"Articulos De Ferreteria"
"RODIENCA, C.A. RUEDAS Y SUMINISTROS IND.";"";"Tel: (58) (212) 6253552";"Av. Victoria, Cl El Comercio, E. Edymaech, P.B. Frente Al C.C. Victoria Plaza, Caracas Caracas, Venezuela";"Articulos De Ferreteria"
"ILUMINACION TOTAL C.A";"";"Tel: (58) (212) 8680923";"C.C II Portico Piso 1 Locales 1-4 y 1-5 Salida Ditribuidor Caracas, Venezuela";"Artículos Eléctricos"
"MATERIALES ELECTRICOS LIBERTAD C.A";"";"Telefax: (58) (243) 5531302";"v Carabobo Sur No. 51 Edif Pipina Torre B Planta Baja Sta Rosa, Maracay Maracay, Venezuela";"Artículos Eléctricos"
"INDUSTRIAS RALG 64, C.A";"";"Tel: (58) (239) 2311124";"Santa Teresa Santa Teresa, Venezuela";"Artículos Eléctricos"
"DISTRIBUIDORA BALASTOS 2000 C.A";"";"Tel: (58) (241) 8780803";"Industrial El Recreo, Complejo Ind. Galinca Valencia, Venezuela";"Artículos Eléctricos"
"VENCA S.A";"";"Telefax: (58) (243) 2341598";"Zona Ind. San Jacinto 2da Cl Este (Detrás De Alimentos Kellogg's), Maracay Maracay, Venezuela";"Artículos Eléctricos"
"SERVICIOS RAINBOW DE VENEZUELA, C.A.";"";"Tel: (58) (261) 7979328";"Calle 66 Con Av. 10, La Estrella Maracaibo, Venezuela";"Artículos Eléctricos"
"CORPORACION IADIEXPORT C.A.";"";"Tel: (58) (212) 2313755";"Urb Ind El Cujial Parcela 45 Santa Teresa Del tuy Caracas, Venezuela";"Artículos Eléctricos"
"TELESERVICIOS SPIDEA";"";"Tel: (58) (243) 2342653";"Sn José Cl 12 No. 81 Maracay, Venezuela";"Artículos Eléctricos"
"CONTACTOS INDUSTRIALES C.A.";"";"Tel: (58) (241) 8592977";"Av Branger No. 97-11 Edif Coninca, Valencia Valencia, Venezuela";"Artículos Eléctricos"
"REPRESENTACIONES ELECTRICAS LOS GUAYOS C.A";"";"Telefax: (58) (241) 8642334";"Valencia Valencia, Venezuela";"Artículos Eléctricos"
"CIMCA";"";"Tel: (58) (244) 3223050";"La Victoria, Cl. Presidente Zona Ind. Soco La Victoria, Venezuela";"Artículos Eléctricos"
"COMERCIAL SANTIAGO ORIENTE C.A";"";"Tel: (58) (241) 8322220";"Zona Ind. Carabobo, 1era Transv Valencia Valencia, Venezuela";"Artículos Eléctricos"
"INGENIERIA Y SUMINISTRO C.A";"";"Tel: (58) (243) 5510897";"Santa Rosa Maracay, Venezuela";"Artículos Eléctricos"
"BTICINO";"";"Tel: (58) (261) 2873784";"Maracaibo Maracaibo, Venezuela";"Artículos Eléctricos"
"ELECTRICOS FRIMENCA";"";"Tel: (58) (243) 2465272";"Maracay Maracay, Venezuela";"Artículos Eléctricos"
"MEGAWATIOS C.A.";"";"Tel: (58) (241) 8334490";"Parque Industrial La Quizanda, 2da. Transversal, Galpón 44, (Frente Al Banco Exterior), Valencia, Edo. Carabobo Valencia, Venezuela";"Artículos Eléctricos"
"JOHN'S IMPORT C.A";"";"Tel: (58) (241) 8325062";"Valencia Valencia, Venezuela";"Artículos Eléctricos"
"IMPORT IMPORT C.A.";"";"Tel: (58) (261) 6100498";"Maracaibo Maracaibo, Venezuela";"Artículos Eléctricos"
"AGECA SUMINISTROS C.A";"";"Telefax: (58) (243) 2327845";"Urb. Calicanto 4ta Transv Edif Centro Profesional Del Norte Piso 5 Ofici No. 55, Maracay Maracay, Venezuela";"Artículos Eléctricos"
"SERVIELECA, C.A.";"";"Telefax: (58) (212) 2396294";"Av. Principal, Los Ctjos De Lourdes, Caracas Caracas, Venezuela";"Artículos Eléctricos"
"ELECTRINDUSTRIAL C.A";"";"Tel: (58) (243) 5513760";"Santa Rosa, Maracay Maracay, Venezuela";"Artículos Eléctricos"
"REPRESENTACIONES ELECTRICAS S & F C.A";"";"Tel: (58) (241) 8942811";"Autop Valencia Tocuyito, Vía De Servicio Av La Luz Edif 3 Local 3 Valencia, Venezuela";"Artículos Eléctricos"
"DISTEIN C.A";"";"Tel: (58) (243) 2619265";"Santa Cruz de Aragua Santa Cruz de Aragua, Venezuela";"Artículos Eléctricos"
"SERVELEC C.A.";"";"Tel: (58) (286) 9523778";"Av. Paseo Caron, Torre Inca, Piso 2 Ofc 1,Unare II,Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Artículos Eléctricos"
"INDUSTRIAS ARGEVEN S.A.";"";"Tel: (58) (212) 7622819";"Boulevard De Sabana Grande C/C Cl San Antonio Edif Provincial P 3 Of 3 Caracas, Venezuela";"Artículos Eléctricos"
"FERRE ELECTRICOS MB";"";"Telefax: (58) (243) 2693389";"Av Intercomunal Santiago Mariño Sec. La Providencia Par No. 33, La Morita Maracay, Venezuela";"Artículos Eléctricos"
"PRENSADOS Y GALVANIZADOS DE LARA SA";"";"Tel: (58) (251) 2371208";"Cr 2 Zona industrial I Esquina Cl 26 Barquisimeto, Venezuela";"Artículos Eléctricos"
"MATERIALES ELECTRICOS M.B 2005 C.A";"";"Tel: (58) (243) 2694271";"Av Inetrcomunal Maracay, Turmero Parcela 9-A Frente Al Restaurante Campestre Maracay, Venezuela";"Artículos Eléctricos"
"DIELESA MARACAY S.A";"";"Tel: (58) (243) 5547332";"Av Constitución Oeste No. 257 A 600 Mts Peaje Tapa-Tapa, Maracay Maracay, Venezuela";"Artículos Eléctricos"
"OBRA LUX";"";"Tel: (58) (212) 5320595";"Caracas Caracas, Venezuela";"Artículos Eléctricos"
"DISTRIBUIDORA TÉCNICA GERD S.A";"";"Tel: (58) (241) 8324756";"C.C Atlas Local B-13 Con Prolongación Av Michelena, Valencia Valencia, Venezuela";"Artículos Eléctricos"
"MATERIALES ELECTRICOS SVAT C.A.";"";"Tel: (58) (212) 2668094";"Cl Guaicaipuro Edif Feltre L C, Chacao Caracas, Venezuela";"Artículos Eléctricos"
"MATERIALES ELECTRICOS CALABOZO C.A";"";"Tel: (58) (246) 8712341";"Cr 11 Calabozo , Venezuela";"Artículos Eléctricos"
"2M INGENIERIA C.A";"";"Tel: (58) (243) 2336443";"Av 10 De Diciembre C.C.P Kama Meru Ofic 01 Y 02, Maracay Maracay, Venezuela";"Artículos Eléctricos"
"HN TODO ELECTRICO S.R.L";"";"Tel: (58) (243) 5530921";"Cl Carabobo Sur, Santa Rosa Maracay, Venezuela";"Artículos Eléctricos"
"ALTA TECNOLOGÍA & SERVICIOS OCCIDENTE, C.A.";"";"Tel: (58) (261) 7498374";"Calle 58 Con Av. 15B, Edif. Alta Tecnología, 15B-25, Sector Las Corubas, Maracaibo Maracaibo, Venezuela";"Artículos Eléctricos"
"PARTES METALICAS TROQUELADAS C.A PMT";"";"Tel: (58) (243) 5516054";"Zona Ind San Vicente II, Maracay Maracay, Venezuela";"Artículos Eléctricos"
"DISTRIBUIDORA LA LINEA BLANCA";"";"Tel: (58) (244) 3230776";"Rivas Dávila La Victoria, Venezuela";"Artículos Eléctricos"
"COMERCIAL JOTA JOTA S.A";"";"Tel: (58) (241) 6181726";"E/ Av Constitución Y Diaz Moreno Cl. Comercio, Centro No. 100-52 Valencia, Venezuela";"Artículos Eléctricos"
"PEICA";"";"Tel: (58) (244) 3218997";"Parque Ind. Victoria 2 Transv, Galpón No. 20 Urb. La Chapa La Victoria, Venezuela";"Artículos Eléctricos"
"ELECSA ELECTRICIDAD ESPECIALIZADA S.A";"";"Tel: (58) (241) 8324958";"Urb Ind. carabobo Dg. A Epa, Valencia Valencia, Venezuela";"Artículos Eléctricos"
"SOMERINCA";"";"Tel: (58) (212) 2352748";"Cl Vargas Edif Esteban P 2, Boleita Nte Caracas, Venezuela";"Artículos Eléctricos"
"INSTALACIÓN Y REPUESTOS SALAME C.A";"";"Tel: (58) (243) 2463613";"Cl Mariño Sur Maracay, Venezuela";"Artículos Eléctricos"
"MATECON CARABOBO C.A.";"";"Tel: (58) (212) 9538132";"Caracas Caracas, Venezuela";"Artículos Eléctricos"
"MATERIALES ELECTRICOS ARAGUA C.A.";"";"Tel: (58) (243) 2722384";"Zona Ind La Hamaca Av Merida Galpon 33-1 Diagonal A La Coca-Cola Maracay, Venezuela";"Artículos Eléctricos"
"ELECTROCONTROLES ROMI C.A";"";"Tel: (58) (241) 8333830";"Zona Ind. Norte Av Este-Oeste No. 4Cruce Con Cl Norte-Sur No. 4 No. 64-581 Valencia Valencia, Venezuela";"Artículos Eléctricos"
"TECNO ELECTRO INDUSTRIAL C.A TEICA";"";"Tel: (58) (242) 3640903";"Zona Ind. Santa Rosa Puerto Cabello, Venezuela";"Artículos Eléctricos"
"DISTRIBUIDORA ALPIGRO C.A.";"";"Tel: (58) (212) 5640694";"De Punceres A Escalinata Av. Urdaneta, Edif. Serenata, P.B. Local 2 Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"PROMOCIONES LASER 33, C.A.";"";"Telefax: (58) (212) 9455526";"La Trinidad Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"CICLOBARCA CICLOMOTRIZ BARRERA, C.A.";"";"Tel: (58) (261) 7546274";"C.C. Carmen Locales 5 Y 6, Av. La Limpia, No. 85-39 Maracaibo, Venezuela";"Artículos Y Equipo Deportivo"
"RELSER, C.A.";"";"Tel: (58) (212) 7628433";"Cl. Baldo, Edif. Gumic, Piso 4, Local 4B, Sabana Grande Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"STAR SPORT C.A.";"";"Tel: (58) (286) 9616177";"Av.Guayana, C.C. Zulia, Local N³56, Alta Vista, Puerto Ordaz, Edo.Bolívar Ciudad Guayana Puerto Ordaz, Venezuela";"Artículos Y Equipo Deportivo"
"BICISHOP C.A.";"";"Tel: (58) (293) 4331217";"Av Bermudez Cumaná, Venezuela";"Artículos Y Equipo Deportivo"
"INVERSIONES GENESIS C.A.";"";"Tel: (58) (245) 2471798";"Av. Colombia, No 78-15 entre Calles Comercio y Arismendi, Punto Fijo, Edo. Falcón Guacará, Venezuela";"Artículos Y Equipo Deportivo"
"SIPOFI C.A.";"";"Tel: (58) (212) 9513532";"Av. Casanova Torre Limina, Bello Monte Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"INVERSIONES BICIMONTAÑA BICIMON, C.A.";"";"Tel: (58) (212) 7534281";"Edif. Ulimar, Local 1 Y 2, P.B. Cl. Chama, Cnas De Bello Monte Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"HELMASS CORPORACIÓN, C.A.";"";"Tel: (58) (212) 2820269";"Ct. Vieja, Los Anaucos Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"SPORT BICI KAFFE, C.A.";"";"Tel: (58) (212) 2352201";"Cl. Vargas Boleíta Norte Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"BICI-DEPORTES MARCANO";"";"Tel: (58) (286) 9341219";"Av Ppal Vista el Sol Ciudad Guayana Puerto Ordaz, Venezuela";"Artículos Y Equipo Deportivo"
"MILENIUN BIKE, C.A.";"";"Tel: (58) (243) 2361354";"Av. Bermudez No. 23 Maracay, Venezuela";"Artículos Y Equipo Deportivo"
"SERVICICLISMO STORE, C.A.";"";"Tel: (58) (212) 6618718";"Av. T D La Parra, Sta. Mónica Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"SCOOTER BIKE";"";"Tel: (58) (274) 2622436";"A 10 Mts. del Ambulatorio El Llano Av. 3 Independencia Mérida, Venezuela";"Artículos Y Equipo Deportivo"
"GRUPO SDC";"";"Tel: (58) (212) 5633026";"Av. Urdaneta Esq. Madrices A Ibarras, Edif. Gamma, Piso 3, Caracas, D.C. Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"DEPORTES QUEEN'S SPORT C.A.";"";"Tel: (58) (281) 2742135";"Al Comienzo, Av. Juan de Urpín, C.C. Nuestra Sra. Del Valle, N³41 L3-2 Barcelona, Venezuela";"Artículos Y Equipo Deportivo"
"REPRESENTACIONES RONAHIS";"";"Telefax: (58) (212) 5768985";"Caracas Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"BICICLETAS GIANCARLO, S.R.L.";"";"Telefax: (58) (212) 9445866";"La Trinidad - Caracas Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"EQUIPOS DE AUTOMATIZACIÓN S.A";"";"Tel: (58) (212) 6615090";"Cl. La Facultad, Edif. Valenciana, Piso 1, Los Chaguaramos Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"BICI SPORT DE BARQUISIMETO";"";"Tel: (58) (251) 2330750";"Entre Avenida 20 y Carrera 21 Barquisimeto, Venezuela";"Artículos Y Equipo Deportivo"
"AGRO DEPORTES GORGONE S.R.L.";"";"Tel: (58) (281) 9314165";"Roble Por Fuera, Via Paula CI Construccion el Roble Puerto de  la Cruz, Venezuela";"Artículos Y Equipo Deportivo"
"LA CASA DEL CICLISTA, C.A.";"";"Tel: (58) (281) 2772985";"Av 5 de Julio Barcelona, Venezuela";"Artículos Y Equipo Deportivo"
"OLYMPIA ZULIA, C.A.";"";"Tel: (58) (261) 7875977";"Cl. 100, Sabaneta Larga Maracaibo, Venezuela";"Artículos Y Equipo Deportivo"
"A GRUPO NEWPLAS, C.A.";"";"Tel: (58) (212) 5459915";"Caracas Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"CLO INDUSTRIA S.A.";"";"Tel: (58) (241) 7872484";"Calle 18 No. 4-169 Zina Ind. Ureña, Edo Tachira Valencia, Venezuela";"Artículos Y Equipo Deportivo"
"PLACARTE, C.A.";"";"Tel: (58) (212) 2350495";"Boleíta Sur Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"ELECTRONICA QUANTUM C.A.";"";"Tel: (58) (212) 2572527";"Av. Milán, La California Sur Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"BICICLETAS ANDRADE";"";"Tel: (58) (255) 6224645";"Edificio Giraldo,Local 1 y 2 Entre Avenida 25 y 26 Calle 31 Acarigua Acarigua, Venezuela";"Artículos Y Equipo Deportivo"
"DIPLACA C.A.";"";"Tel: (58) (212) 2359270";"Av.Las Palmas, Edif.Del Este, Boleita Sur Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"FANAGRA C.A";"";"Tel: (58) (212) 2371944";"Avenida San Francisco de Miranda Edif Seguros La Paz Piso 5 0fic.0-55 Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"DEPORTES Y JUGUETERÍA BAMBI, C.A.";"";"Tel: (58) (293) 4324448";"Av. Bermúdez Cumaná, Venezuela";"Artículos Y Equipo Deportivo"
"BICI 2000, C.A.";"";"Tel: (58) (281) 2662297";"Av 5 de Julio Puerto de  la Cruz, Venezuela";"Artículos Y Equipo Deportivo"
"RANY SPORT C.A.";"";"Tel: (58) (286) 9516877";"Av. principal Unare II, Vía Polideportivo Venalum, Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Artículos Y Equipo Deportivo"
"BICICLETAS MIURA, C.A.";"";"Tel: (58) (212) 2511441";"Cl. La Industria, Ctro. Betomix Piso 1, Local 1a-1b, Palo Verde Caracas P alo Verde Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"BICIMUNDO S.R.L";"";"Tel: (58) (286) 9343466";"1o de Mayo Ciudad Guayana Puerto Ordaz, Venezuela";"Artículos Y Equipo Deportivo"
"AVILA PREMIOS Y RECONOCIMIENTOS, C.A.";"";"Telefax: (58) (274) 2525722";"Cl. Franco- Arzil, La Magdalena Mérida, Venezuela";"Artículos Y Equipo Deportivo"
"BICI SHOP";"";"Tel: (58) (241) 8579155";"A 50 Mts. de la Clínica San Rafael Av. Branger, Libertador Valencia, Venezuela";"Artículos Y Equipo Deportivo"
"BICICLETAS ZAMPELLA";"";"Tel: (58) (212) 6336089";"Av. Nva. Granada, Los Rosales Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"OM-FER SPORT";"";"Tel: (58) (295) 2646556";"Cl Igualdad Porlamar, Venezuela";"Artículos Y Equipo Deportivo"
"CRISTALERIA PUENTE HIERRO";"";"Telefax: (58) (212) 5459505";"Las Flores, Pte Hierro Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"EMPORIO DE LA BICICLETA, C.A.";"";"Tel: (58) (212) 3810934";"Av. Intercomunal Edif. Parsil El Marqués Guatire, Venezuela";"Artículos Y Equipo Deportivo"
"TODO SOBRE RUEDAS EL BANDOLERO";"";"Tel: (58) (253) 4911737";"Quibor Quibor, Venezuela";"Artículos Y Equipo Deportivo"
"BICICLETAS G & G SPORT, C.A.";"";"Tel: (58) (212) 4845232";"A Media Cuadra De R.C.T.V. Quinta Crespo, Edif. Bricasa 1 Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"BICICLETAS CAMPEÓN BIKE©S, S.R.L.";"";"Tel: (58) (276) 3555025";"Barrio Obrero - Sn Ctbal San Cristóbal, Venezuela";"Artículos Y Equipo Deportivo"
"DISTRIBUIDORA BEHRENS, C.A.";"";"Tel: (58) (283) 2354346";"Av. F de Miranda, # 62 El Tigre, Venezuela";"Artículos Y Equipo Deportivo"
"BICICLETAS MONTOYA, C.A.";"";"Tel: (58) (212) 8719385";"Av. Simon Bolívar Local 38, Catia Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"FRAN-SERVIS";"";"Tel: (58) (212) 6321639";"Los Rosales - Caracas Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"C.A. PUBLINDUSTRIAL LIZUL";"";"Tel: (58) (212) 2622008";"Av. Ppal, Urb. Bello Campo Cto. Com. Bello Campo P.B. Local 14 Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"REGISTRADORES DE ASISTENCIA (REGATRONIC, C.A.)";"";"Tel: (58) (212) 6157107";"Caracas Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"INSIGNIAS UPIM C.A";"";"Tel: (58) (212) 7628776";"Sabana Grande Caracas, Venezuela";"Artículos Y Equipo Deportivo"
"BICI DEPORTES RONDON S.R.L";"";"Tel: (58) (286) 9343818";"Av Manuel Pilar Ciudad Guayana Puerto Ordaz, Venezuela";"Artículos Y Equipo Deportivo"
"FG PROYECTO E INVERSIONES, C.A.";"";"Tel: (58) (243) 9444047";"Av. Intercomunal, La Morita I Maracay, Venezuela";"Asesorías En Proyectos Y Tesis"
"INVERSIONES JACOB'S SECURITY, C.A.";"";"Tel: (58) (274) 3569032";"Calle 11 entre crre 24 y 25,Nú24-50, barrio Obrero Mérida, Venezuela";"Asesorías En Vigilancia Y Seguridad Privada"
"CELTIC SECURITY, C.A.";"";"Telefax: (58) (212) 5418923";"Caracas Caracas, Venezuela";"Asesorías En Vigilancia Y Seguridad Privada"
"SERVICIOS DE SEGURIDAD INTEGRAL 2013, CA";"";"Tel: (58) (212) 5141814";"Av. Veracruz, Edif. Keope, Piso 1, Ofic.15-A, Las Mercedes Caracas, Venezuela";"Asesorías En Vigilancia Y Seguridad Privada"
"DIVISION DE SEGURIDAD INDUSTRIAL, C.A.DISEINCA";"";"Telefax: (58) (251) 2527043";"Cl. 11 E/Crs 24 y 25 Barquisimeto, Venezuela";"Asesorías En Vigilancia Y Seguridad Privada"
"SISTEL SECURITY";"";"Tel: (58) (274) 2662578";"Merida Mérida, Venezuela";"Asesorías En Vigilancia Y Seguridad Privada"
"SESYSVE, C.A.";"";"Tel: (58) (286) 7480556";"C.C. Mami, Piso 2, Oficina 78, Alta Vista Ciudad Guayana Puerto Ordaz, Venezuela";"Asesorías En Vigilancia Y Seguridad Privada"
