"ACADEMIA DE BELLEZA KISMET";"";"Tel: (58) (212) 2659143";"Av Fco De Miranda Edif Los Llanos, Chacao Caracas, Venezuela";"Academia De Belleza"
"MT MAQUINARIAS, C.A.";"";"Tel: (58) (243) 2619291";"Av Hernández Nadal Turagua Santa Cruz de Aragua, Venezuela";"Alquiler De Equipos Para Construcción"
"SERVIPS. C.A.";"";"Tel: (58) (212) 2857896";"Caracas Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"CONSTRUCCIONES SERGIO RUSSO C.A";"";"Telefax: (58) (212) 4434366";"Cl El Lirio No. 18 Parte Baja Bella Vista, Caracas Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"EQUIPOS RYZ C.A.";"";"Tel: (58) (261) 7979395";"Av. 5 De Julio, Torre Buenos Aires 2do Piso,Of. 203 Maracaibo, Venezuela";"Alquiler De Equipos Para Construcción"
"FERRO INDUSTRIAL SAN PABLO, C.A.";"";"Tel: (58) (243) 2371570";"Av Constitución No. 165 diagonal al Seguro Social frente a Saima Motors Maracay, Venezuela";"Alquiler De Equipos Para Construcción"
"PAVIMENTOS DE ASFALTO LM C.A";"";"Tel: (58) (212) 9796735";"Prados Del Este Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"ARRENDAMIENTOS BARUTA C.A, MAQUINARIAS BARUTA C.A";"";"Telefax: (58) (212) 9620945";"Carrt Baruta El Placer (Al Lado Hermanas Misioneras) Villa Laura, Los Guayabitos Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"REQUIPO,C.A.";"";"Telefax: (58) (261) 7543158";"Av.82 c/c 75, N³75-13 Sector Panamericano Maracaibo, Venezuela";"Alquiler De Equipos Para Construcción"
"CONSTRUCCIONES JIMENEZ JIMENEZ,C.A.";"";"Tel: (58) (261) 7532657";"Av. Circunvalacion 2 Maracaibo, Venezuela";"Alquiler De Equipos Para Construcción"
"INVERSIONES CARJU";"";"Tel: (58) (212) 7937885";"La Florida Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"ASOCOTRAVOLMENT";"";"Tel: (58) (212) 8702470";"Catia Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"ARRENDAMIENTOS COSTA C.A";"";"Tel: (58) (212) 2346589";"Boleita Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"ALPROCA";"";"Tel: (58) (212) 7317852";"Av La Capilla, La Florida Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"MATERIALES, S.A.";"";"Tel: (58) (212) 7937825";"Av. Andrés Bello, Maripérez Fte. Al Pque. Aristides Rojas Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"DISTRIBUIDORA DIMPERCA, C.A.";"";"Telefax: (58) (212) 7935506";"Av Principal De Maripérez, Qta. Marani Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"IMPER SIMEX S.A.";"";"Tel: (58) (212) 2386685";"Cl Maracay, Edif. Los Teques, P.B., El Marqués Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"E P C CONSTRUCCIONES C.A";"";"Tel: (58) (243) 5546834";"Av Constitución Oeste, No. 289, Sector 23 de Enero, Maracay, Edo. Aragua Maracay, Venezuela";"Alquiler De Equipos Para Construcción"
"TRANSP Y MAQUINARIA TEMMA";"";"Tel: (58) (212) 3312819";"Av Soublete, Maiquetia Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"MULTIEQUIPOS R V M C.A";"";"Tel: (58) (212) 5321510";"Filas De Mariche Filas de Mariche, Venezuela";"Alquiler De Equipos Para Construcción"
"LE GOURMET ALTAMIRA C.A";"";"Tel: (58) (212) 3621115";"Petare, Guarenas Guarenas, Venezuela";"Alquiler De Equipos Para Construcción"
"MAQUINARIAS P JE";"";"Tel: (58) (212) 2912858";"Ct Petare Sta Lucia El Limoncito Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"MAQUINARIAS ARFI C.A";"";"Tel: (58) (212) 2634986";"La Castellana Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"EQUIPOS Y SUMINISTROS BERLIOZ C.A";"";"Tel: (58) (212) 2853150";"Urb Santa Eduvigis Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"DOSIMAQ C.A";"";"Tel: (58) (212) 2344047";"Boleita Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"COMPRESORES Y EQUIPOS, C.A.";"";"Tel: (58) (281) 2865421";"Av. Guzman Lander con Calle 5 Colinas del Neverí Barcelona, Venezuela";"Alquiler De Equipos Para Construcción"
"CONSTRUCTORA RINPOWER C.A";"";"Tel: (58) (212) 2393729";"Los Ruices Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"CONSTRUCTORA DOMRUSO C.A";"";"Tel: (58) (212) 4425935";"Cl El Lirio No. 18 Parte Baja, Vista Alegre Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"ALQUIMA S.R.L";"";"Tel: (58) (212) 9851448";"El Cafetal Caracas, Venezuela";"Alquiler De Equipos Para Construcción"
"Pysta";"";"Cel.: (58) 3113856531";"Atiende en El Espinal desde su sede principal en Cali El Espinal, Venezuela";"Ambientadores"
"TECHBEL";"";"Tel: (58) (212) 9592792";"Caracas Caracas, Venezuela";"Análisis Y Control De Gases"
"X-CARET, C.A.";"";"Tel: (58) (212) 2393018";"Centro Los Dos Caminos Caracas, Venezuela";"Análisis Y Control De Gases"
"ROSS METALS, C.A.";"";"Tel: (58) (212) 8616587";"Pasaje Las Gradillas Caracas, Venezuela";"Anodos"
"EL AREPAZO DEL PASEO";"";"Tel: (58) (281) 2675240";"Av. Paseo Colon,c/calle Miranda Puerto La Cruz, Edo.Anzoategui Puerto de  la Cruz, Venezuela";"Arepas"
"RESTAURANT EL TROPEZÓN, S.R.L.";"";"Tel: (58) (212) 6930947";"Av L Facultad, Los Chaguaramos Caracas, Venezuela";"Arepas"
"AREPERA RINCÓN DEL TUY";"";"Tel: (58) (212) 4828161";"San Martín Caracas, Venezuela";"Arepas"
"INPROA RR C.A.";"";"Tel: (58) (291) 5585806";"Matiruin Maturín, Venezuela";"Arroz"
"DMA DESARROLLO DE MATERIALES AUTOADHESIVOS C.A";"";"Tel: (58) (244) 4479785";"Carrt Nal Cagua-San Mateo Cl No. 1, Fte Parque Codazzi La Encrucijada Edo Aragua, Cagua Cagua, Venezuela";"Artículos Autoadherentes"
"DECO MARMOL C.A.";"";"Tel: (58) (241) 8716257";"Urb. Terrazas De Castillito Av. Intercomunal San Diego C.C. Prati, Galpon 1 Valencia, Venezuela";"Artículos De Mármol"
"MARMOLERIA LOS LIMONES, C.A.";"";"Tel: (58) (243) 2835432";"Sector Mata Seca El Carmen, Urb. El Limon Maracay, Venezuela";"Artículos De Mármol"
"MARMOLES Y GRANITOS VELANCIA, C.A.";"";"Tel: (58) (241) 8717471";"Av. 70,P-L 102 Zona Ind. Castillito Valencia, Venezuela";"Artículos De Mármol"
"KARAM EMPRESAS";"";"Tel: (58) (295) 2616262";"Calle Marlaver Porlamar Porlamar, Venezuela";"Artículos De Mármol"
"GRANITOS Y MARMOLES PASTOR";"";"Tel: (58) (293) 3416421";"Av. Intercomunal, Guaire Sector Rojo Cumaná, Venezuela";"Artículos De Mármol"
"GRANI FUENTES, C.A.";"";"Tel: (58) (243) 2324680";"Independencia Maracay, Venezuela";"Artículos De Mármol"
"INTERMARMOL";"";"Tel: (58) (241) 8326686";"Z.I.N. Av. Michelena C.I. Lofebar, Galpon 01 Valencia, Venezuela";"Artículos De Mármol"
"DIVRECAB - FÁBRICA DE INFLABLES PUBLICITARIOS";"";"Tel: (58) (241) 8574113";"Av Cedeño, Valencia Valencia, Venezuela";"Artículos Inflables"
"ASSISI SPORT C.A.";"";"Tel: (58) (212) 2672076";"La Castellana Caracas, Venezuela";"Artículos Para Deportes"
"TOTAL SPORT,C.A.";"";"Tel: (58) (251) 4470664";"Cl 37, Esq.Carrera 25 Barquisimeto, Venezuela";"Artículos Para Deportes"
"KENY SPORT C.A.";"";"Telefax: (58) (212) 5512519";"Av Panteon, Esq Brisas De Gamboa Av Esmeralda Ed Jamipar L C Caracas, Venezuela";"Artículos Para Deportes"
"REPRESENTACIONES VAFER, C.A.";"";"Tel: (58) (287) 7212077";"Cl Tucupita Tucupita, Venezuela";"Artículos Para Deportes"
"DISTRIBUIDORA KADUR DE VENEZUELA C.A.";"";"Tel: (58) (212) 5502801";"Av Adolfo Ernst Quinta Alpina No. 5, San Bernardino Caracas, Venezuela";"Artículos Para Deportes"
"VINISPORT, C.A.";"";"Tel: (58) (261) 7528756";"Av. 15 Las Delicias, Maracaibo Maracaibo, Venezuela";"Artículos Para Deportes"
"LA CASA DEL GIMNASIO";"";"Tel: (58) (243) 2677454";"Av.Andres Bello entre Av.las Acacias y los Samanes Edif Sirmione Sotano L a Florida Maracay, Venezuela";"Artículos Para Deportes"
"PANEMA GRENDHA";"";"Tel: (58) (251) 9456297";"Urb.Guaicay,Las Minas Barquisimeto, Venezuela";"Artículos Para Deportes"
"FORTE DEPORTES 1, C.A.";"";"Tel: (58) (212) 5646714";"Esq. Manduca La Candelaria Caracas, Venezuela";"Artículos Para Deportes"
"CREACIONES JOFER C.A.";"";"Tel: (58) (212) 3448165";"Cl Concepcion Edif Pereira No. 54 Caracas, Venezuela";"Artículos Para Deportes"
"VALENSPORT C.A";"";"Tel: (58) (241) 8587674";"Valencia Valencia, Venezuela";"Artículos Para Deportes"
"DEPORTES CANAIMA C.A.";"";"Telefax: (58) (212) 6616398";"Cl Edison CC Los Chaguaramos L 18 P.B. Los Chaguaramos (Detras De La Univ ersidad Bolivariana De Venezuela) Caracas, Venezuela";"Artículos Para Deportes"
"DEPORTES MÉRIDA";"";"Tel: (58) (274) 2528430";"Av. 3, Mérida Mérida, Venezuela";"Artículos Para Deportes"
"TECNOSPORTS DE VENEZUELA C.A";"";"Tel: (58) (212) 7932050";"Av. Andres Bello Entre Av. Las Acacias Y Los Sirmione Sótano La Florida Caracas, Venezuela";"Artículos Para Deportes"
"MUNIR SPORT TODO EN DEPORTES, C.A.";"";"Tel: (58) (291) 6429408";"Cl Azcúe, Nro 26 Maturín, Venezuela";"Artículos Para Deportes"
"SPORTLARA C.A.";"";"Tel: (58) (251) 2316291";"Entre Calles 32 y 33. Loc 6 Barquisimeto, Venezuela";"Artículos Para Deportes"
"CONFECCIONES GRAND SLAM SPORT, C.A.";"";"Tel: (58) (261) 7360517";"C.C. Delicias Norte II Etapa Pa Nro 173 Circunvalación II, Maracaibo Maracaibo, Venezuela";"Artículos Para Deportes"
"BAZAR LA YELERA";"";"Tel: (58) (212) 3525169";"Al Lado De La Fabrica De Hielo Av El Ejercito, Catia La Mar Caracas, Venezuela";"Artículos Para Deportes"
"VACACIONES CENTRO C.A";"";"Tel: (58) (241) 8238108";"Av Bolívar Norte, Guaparo Valencia, Venezuela";"Artículos Para Deportes"
"DEPORTES KA C.A";"";"Telefax: (58) (241) 8577521";"Cl Girardot, C/C Boyacá, Centro Valencia, Venezuela";"Artículos Para Deportes"
"CORPORACION NOBILIS C.A.";"";"Telefax: (58) (212) 9418490";"Urb Guaicay, Las Minas Caracas, Venezuela";"Artículos Para Deportes"
"NAUTICA ARAGUA C.A";"";"Tel: (58) (243) 2331938";"Av Bolívar Este, La Barraca Maracay, Venezuela";"Artículos Para Deportes"
"FORTES STORE DEPORTES";"";"Tel: (58) (212) 5781059";"Esq. de Miguelacho La Candelaria Caracas, Venezuela";"Artículos Para Deportes"
"DEPORTES WILLIAM C.A.";"";"Tel: (58) (212) 7635443";"Cl Union Edif Mara P.B., Sabana Grande Caracas, Venezuela";"Artículos Para Deportes"
"DEPORTES LUIGI C.A.";"";"Tel: (58) (212) 8721080";"Cl Colombia, Catia Caracas, Venezuela";"Artículos Para Deportes"
"VARIEDADES MARÍA ROSA MÍSTICA, C.A.";"";"Tel: (58) (271) 4159831";"Avenida 5 Con Calle 7 Y 8 Al Lado De Comercial Yannett, Valera Valera, Venezuela";"Artículos Para Deportes"
"SPORT PROP";"";"Telefax: (58) (212) 4717734";"CC Uslar L M-4, Montalban I Caracas, Venezuela";"Artículos Para Deportes"
"LA CHINGALA S.R.L.";"";"Tel: (58) (212) 4844060";"Av Nte Sur 4, Santa Teresa Caracas, Venezuela";"Artículos Para Deportes"
"CITY SPORT, C.A.";"";"Tel: (58) (295) 2615497";"Boulevard Guevara, Porlamar Porlamar, Venezuela";"Artículos Para Deportes"
"MARA C.A";"";"Tel: (58) (243) 5512038";"C/ campo Elías No. 70 La Democracia Maracay, Venezuela";"Artículos Para Deportes"
"NIJOL SPORTS";"";"Tel: (58) (248) 4332741";"Edif.Galería Central,Loc.9 Av Bolivar San Carlos, Venezuela";"Artículos Para Deportes"
"MIÑO SPORT C.A.";"";"Tel: (58) (212) 4842712";"El Silencio Caracas, Venezuela";"Artículos Para Deportes"
"MENUDO SPORTS";"";"Tel: (58) (212) 6622828";"Av L Ciencias, Los Chaguaramos Caracas, Venezuela";"Artículos Para Deportes"
"JULMO SPORT";"";"Tel: (58) (212) 6319710";"Av Los Carmenes No. 22-1, El Cementerio Caracas, Venezuela";"Artículos Para Deportes"
"AMB LIGHTING C.A.";"";"Tel: (58) (212) 2426128";"La Urbina Caracas, Venezuela";"Artículos Para Deportes"
"RIMENIS C.A.";"";"Tel: (58) (212) 2614752";"Av Fco De Miranda Edif Lucerna L E, Chacao Caracas, Venezuela";"Artículos Para Deportes"
"DISTRIBUIDORA KISBEL 32 C.A.";"";"Tel: (58) (212) 8727265";"Cl El Carmen, Propatria Caracas, Venezuela";"Artículos Para Deportes"
"CORPORACION MOHEDANO";"";"Tel: (58) (212) 7533179";"Plaza Lincoln Colinas De Bello Monte Detras De Ciudad Banesco Antiguo Max y©s Caracas, Venezuela";"Artículos Para Deportes"
"PLAY-OFF C.A.";"";"Tel: (58) (212) 2631063";"Dg Al Acuario Ctro Sambil Caracas, Venezuela";"Artículos Para Deportes"
"POLISPORT C.A";"";"Telefax: (58) (243) 2457536";"C.C 19 De Abril Local A2 Maracay, Venezuela";"Artículos Para Deportes"
"VILLAPARAISO, C.A.";"";"Tel: (58) (271) 8783255";"Av. Bolívar, Valera Valera, Venezuela";"Artículos Para Deportes"
"DEPORTES FUSVI C.A.";"";"Tel: (58) (212) 5761769";"Alcabala, Edif Narauli P.B. Caracas, Venezuela";"Artículos Para Deportes"
"CHEO SPORT INTERNACIONAL, C.A.";"";"Tel: (58) (286) 9529832";"Av. Paseo Caroní, El Guamo C.C.Gran Sabana, Pb, Loc.3b Ciudad Guayana Puerto Ordaz, Venezuela";"Artículos Para Deportes"
"POLICANCHA C.A.";"";"Tel: (58) (212) 2668310";"Edif Iasa, La Castellana Caracas, Venezuela";"Artículos Para Deportes"
"TENNIS WORLD";"";"Tel: (58) (212) 9866371";"El Cafetal Caracas, Venezuela";"Artículos Para Deportes"
"LA TIENDA DE LOS DEPORTES Y EL MÚSICO, C.A.";"";"Tel: (58) (261) 7188881";"La Limpia, Maracaibo Maracaibo, Venezuela";"Artículos Para Deportes"
"DEPORTES Y JUGUETERÍA BAMBI, C.A.";"";"Tel: (58) (293) 4324448";"Av. Bermúdez Cumaná, Venezuela";"Artículos Para Deportes"
"MEGA SPORT";"";"Tel: (58) (212) 3524998";"Av Atlantida entre Cl 10 Y 11, Catia La Mar Caracas, Venezuela";"Artículos Para Deportes"
"RANY SPORT C.A.";"";"Tel: (58) (286) 9516877";"Av. principal Unare II, Vía Polideportivo Venalum, Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Artículos Para Deportes"
"KOMBATE, C.A.";"";"Tel: (58) (261) 7973182";"Av. 13, Tierra Negra, Maracaibo Maracaibo, Venezuela";"Artículos Para Deportes"
"PAN GRANDE SPORT";"";"Tel: (58) (273) 5525737";"Av. M Jimenez, Barinas Barinas, Venezuela";"Artículos Para Deportes"
"DEPORTES 2811 C.A";"";"Tel: (58) (241) 8224041";"Av 99 Qta. 136-20 Urb. Los Naranjos, Valencia Valencia, Venezuela";"Artículos Para Deportes"
"DISCOGESIS SO C.A";"";"Tel: (58) (244) 6637122";"Cl Mariño C.C Paseo Los Laureles Local No. 48, Turmero Turmero, Venezuela";"Artículos Para Deportes"
"DEZUCA NATO SPORT C.A.";"";"Tel: (58) (212) 8622761";"Av Oeste Sales A Balconcito Edif 34-25 Mezz Altagracia Caracas, Venezuela";"Artículos Para Deportes"
"ATHLETICS";"";"Tel: (58) (212) 5118837";"C.C Sambil San Cristobal Nivel Feria Local F-60 y F-61 San Cristobal Caracas, Venezuela";"Artículos Para Deportes"
"AMANACO EQUIPOS DEPORTIVOS";"";"Tel: (58) (212) 5153592";"Av Los Libertadores Torre Beta, Los Ruices Caracas, Venezuela";"Artículos Para Deportes"
"DEPORTES COLON C.A.";"";"Tel: (58) (212) 3520734";"Catia La Mar Caracas, Venezuela";"Artículos Para Deportes"
"DEPORTES TRAGUARDI C.A.";"";"Tel: (58) (212) 3832881";"Cc La Cascada P.B. L 23 Caracas, Venezuela";"Artículos Para Deportes"
"PUMA - INVERSIONES NOBILIS, C.A.";"";"Telefax: (58) (281) 9418490";"Urb Guaicay, Las Minas Puerto de  la Cruz, Venezuela";"Artículos Para Deportes"
"AFFANIS SPORT C.A.";"";"Tel: (58) (212) 7622278";"Av Fco Solano, Edif Lourdes Caracas, Venezuela";"Artículos Para Deportes"
"BANANA SPORT";"";"Tel: (58) (242) 3618156";"Cl Plaza Ctro Prof. Plaza LOcal 21-A Puerto Cabello, Venezuela";"Artículos Para Deportes"
"SPORT ZONE";"";"Tel: (58) (212) 2373944";"Cl Tiuna Edif Ramella P.B., Boleita Nte Caracas, Venezuela";"Artículos Para Deportes"
"INVERSIONES PINHO 777 SPORT C.A.";"";"Tel: (58) (212) 3443737";"Av Miranda, Guatire Guatire, Venezuela";"Artículos Para Deportes"
"DEPORTES CONCEPCIÓN S.R.L";"";"Tel: (58) (244) 4472909";"Cl San Juan Cagua, Venezuela";"Artículos Para Deportes"
"SABENCA MARGARITA, C.A.";"";"Tel: (58) (295) 2646177";"Cl Gómez Cruce con Igualdad Porlamar, Venezuela";"Artículos Para Deportes"
"CORPORACIÓN SANTA BEATRIZ C.A.";"";"Tel: (58) (212) 2718746";"Av. Fco De Miranda, La California Norte Caracas, Venezuela";"Artículos Para Deportes"
"DISTRIBUIDORA BEHRENS, C.A.";"";"Tel: (58) (283) 2354346";"Av. F de Miranda, # 62 El Tigre, Venezuela";"Artículos Para Deportes"
"GOL X GOL, C.A.";"";"Tel: (58) (271) 2319497";"Av. 6, Las Acacias, Valera Valera, Venezuela";"Artículos Para Deportes"
"FÁBRICA DE BOLAS CRIOLLAS FABOCCA";"";"Telefax: (58) (243) 5516434";"Av Principal Zona Ind San Vicente II, Maracay Maracay, Venezuela";"Artículos Para Deportes"
"FALINCA";"";"Tel: (58) (212) 2380740";"Av Francisco De Miranda Centro Seguros La Paz Piso 5 Ofic 52-D, Boleita Sur Caracas, Venezuela";"Artículos Para Deportes"
"SOCCER LOCHER";"";"Tel: (58) (212) 7636370";"Plaza Venezuela Caracas, Venezuela";"Artículos Para Deportes"
"ORMO, C.A.";"";"Tel: (58) (295) 2640186";"Sector Brasil-Porlamar Porlamar, Venezuela";"Artículos Para Deportes"
"REPRESENTACIONES MQG, S.R.L.";"";"Tel: (58) (212) 3311319";"Nueva Sorocaima, Maiquetía Caracas, Venezuela";"Artículos Para Deportes"
"SCIOLI SPORT C.A.";"";"Tel: (58) (212) 2835735";"Av Romulo G Fte Al Parque Miranda, Los Dos Caminos Caracas, Venezuela";"Artículos Para Deportes"
"TEC SPORT";"";"Tel: (58) (212) 9416002";"Cl. La Pedrera Edif. Las Minas De Baruta Caracas - Venezuela Caracas, Venezuela";"Artículos Para Deportes"
"CHAMPION SPORTS";"";"Tel: (58) (212) 6327290";"Av El Parque Edif Miguel P.B. Of 02 Urb Las Acacias Caracas, Venezuela";"Artículos Para Deportes"
"ARES INTERGROUP C.A.";"";"Tel: (58) (212) 6332118";"Av El Cortijo, Los Rosales Caracas, Venezuela";"Artículos Para Deportes"
"AGRO DEPORTES GORGONE S.R.L.";"";"Tel: (58) (281) 9314165";"Roble Por Fuera, Via Paula CI Construccion el Roble Puerto de  la Cruz, Venezuela";"Artículos Para Deportes"
"ANTONIO GUZZO C.A.";"";"Tel: (58) (212) 2346928";"Av Las Palmas, Boleita Caracas, Venezuela";"Artículos Para Deportes"
"ARMARAGUA C.A";"";"Tel: (58) (243) 2465585";"Santos Michelena Norte Maracay, Venezuela";"Artículos Para Deportes"
"MAGÙCO";"";"Tel: (58) (285) 2820014";"Av. AmÉrico Vespucio C.C. Caribbean Mall, Local C2-334 Ciudad Bolivar, Venezuela";"Artículos Para Juguetería"
"PANAMA FASTENERS";"ventas@panamafasteners.com";"";"Venezuela Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"CERRAJERÍA LLAVEXPRESS C.A";"";"Tel: (58) (212) 3442718";"Principal, El Desvío Guatire Guatire, Venezuela";"Artículos Y Herramienta De Ferretería"
"TORNILLOS CAMPO ELÍAS, C.A.";"";"Tel: (58) (274) 2215446";"Av. Fernández Peña-Ejido Ejido, Venezuela";"Artículos Y Herramienta De Ferretería"
"MULTITORNILLOS C.A.";"";"Telefax: (58) (276) 3477785";"Calle 3 Nro.10-53 San Cristóbal, Venezuela";"Artículos Y Herramienta De Ferretería"
"INDUSTRIAL MARICHES C.A";"";"Tel: (58) (212) 2900212";"Cr Perate Santa Lucia Km 3 Frente Al Bnco De Venezuela Mariches Edo Miran da Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"CERRAJERÍA ALADÍN PATIO TRIGAL, C.A.";"";"Tel: (58) (241) 8425305";"Ppal, El Trigal Norte C.C. El Trigal Norte Valencia, Venezuela";"Artículos Y Herramienta De Ferretería"
"AUTO CERRAJERÍA TIN TON S.R.L";"";"Tel: (58) (212) 4821418";"Bárcenas A Piedras Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"CERRAJERÍA Y ACRÍLICOS EL ANGEL";"";"Tel: (58) (276) 7714050";"Simón Bolívar San Antonio del Táchira, Venezuela";"Artículos Y Herramienta De Ferretería"
"GRAPAS VENEZOLANAS C.A";"";"Tel: (58) (212) 2344140";"Caracas Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"CERRAJERÍA REB 57 C.A";"";"Tel: (58) (212) 3837857";"Montaña Alta Carrizal, Venezuela";"Artículos Y Herramienta De Ferretería"
"FERREFAST";"";"Tel: (58) (212) 4841601";"Esq. Bárcenas A Río, Santa Teresa Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"AUTOCERRAJERÍA LLAVES";"";"Tel: (58) (212) 5782749";"Av Este 2, La Candelaria Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"TORNILLOS CARIBEAN, C.A.";"";"Tel: (58) (281) 2671771";"Av Bolivar, Nro 451 Puerto de  la Cruz, Venezuela";"Artículos Y Herramienta De Ferretería"
"CERRAJERÍA VENEZUELA";"";"Tel: (58) (276) 7716144";"C 7 No. 6-53 San Antonio del Táchira, Venezuela";"Artículos Y Herramienta De Ferretería"
"COMERCIAL ARTILLAVES S.R.L";"";"Tel: (58) (212) 6615880";"Santa Mónica Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"DISTRIBUIDORA FERRETOR, C.A.";"";"Tel: (58) (212) 8630494";"Av. Sucre Catia Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"CANATORCA, C.A.";"";"Tel: (58) (251) 2669524";"Av.Florencio Jiménez calle 22, Piedra Blanca Barquisimeto, Venezuela";"Artículos Y Herramienta De Ferretería"
"CERÁMICAS SULCAR C.A.";"";"Tel: (58) (212) 6317433";"Av. Av. Ppal, El Cementerio Esq. Los Alpes, Edif. Calsur, P.B. Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"CERRAJERÍA LAS FLORES";"";"Tel: (58) (274) 3468243";"Av. Oriental Mérida, Venezuela";"Artículos Y Herramienta De Ferretería"
"AUTO CERRAJERÍA SURTI LLAVES";"";"Tel: (58) (212) 4613406";"El Paraíso Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"CERRAJERIA EL MAGO, C.A.";"";"Telefax: (58) (241) 8579625";"Av. Diaz Moreno Entre Navas spinola y Salomon, Edif. Editor, Loc. 1 Valencia, Venezuela";"Artículos Y Herramienta De Ferretería"
"AUTOCERRAJERÍA PLAZA LAS AMÉRICAS";"";"Tel: (58) (212) 9859551";"El Cafetal Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"CERRAJERIA LA LLAVE DORADA C.A.";"";"Tel: (58) (281) 2869655";"Av Principal Lecherías, Venezuela";"Artículos Y Herramienta De Ferretería"
"CERRAJERIA BOLIVAR";"";"Tel: (58) (295) 2639454";"Av bolivar Sect Bella V Porlamar, Venezuela";"Artículos Y Herramienta De Ferretería"
"CAJAS FUERTES DETROIT";"";"Tel: (58) (212) 6326664";"Av. Victoria Cruce Con Cl. Chile, Edif. Rocas, P.B. Caracas 1040 Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"AUTO CERRAJERÍA YERARD C.A";"";"Tel: (58) (212) 8600317";"Altagracia Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"LÈMPARAS DIANA 2, S.A.";"";"Tel: (58) (295) 2610942";"Cl Fermin Con Av 4 De Mayo Porlamar, Venezuela";"Artículos Y Herramienta De Ferretería"
"TORNILLOS ORQUIDEA II, C.A.";"";"Telefax: (58) (244) 3964095";"Calle Pichincha Entre Mariño Y Rondon Local 104-02.01, 02 Y 04 Cagua, Venezuela";"Artículos Y Herramienta De Ferretería"
"CLAVESIL C.A";"";"Tel: (58) (212) 5320854";"María Lionza La Candelaria , Filas De Mariche Filas de Mariche, Venezuela";"Artículos Y Herramienta De Ferretería"
"BRICOLAJE BAZAR C.A";"";"Tel: (58) (212) 2637070";"Av Adrían Rodriguez, Chacao Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
"CERRAJERÍA LA TRIGALEÑA C.A";"";"Tel: (58) (241) 8433386";"C.C Cotoperi L-14 Valencia, Venezuela";"Artículos Y Herramienta De Ferretería"
"PLATERÍA CANDILEJAS, C.A.";"";"Tel: (58) (212) 2385581";"4ta. transv. Edif. Candilejas No. 16-12, Caracas Caracas, Venezuela";"Artículos Y Herramienta De Ferretería"
